,date,weather_code,temperature_2m_mean,temperature_2m_max,temperature_2m_min,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration
0,1940-01-01 06:00:00+00:00,,-24.21975,-22.1135,-26.563501,12.181624,,121.54542,,
1,1940-01-02 06:00:00+00:00,3.0,-23.569754,-21.713501,-24.8635,14.003028,24.48,122.16251,1.24,0.058816575
2,1940-01-03 06:00:00+00:00,3.0,-20.376001,-18.213501,-23.3635,14.565548,30.599998,133.50877,0.99,0.09301231
3,1940-01-04 06:00:00+00:00,3.0,-20.276003,-18.713501,-21.2635,13.246826,24.119999,142.45421,1.27,0.06309448
4,1940-01-05 06:00:00+00:00,71.0,-20.409336,-16.6635,-23.1135,8.891343,26.64,303.78937,0.66,0.04309615
5,1940-01-06 06:00:00+00:00,2.0,-23.763498,-21.5135,-27.313501,10.137692,17.64,281.25702,1.39,0.020550553
6,1940-01-07 06:00:00+00:00,3.0,-21.809334,-15.4135,-28.8635,12.10157,28.8,290.76154,0.75,0.06725037
7,1940-01-08 06:00:00+00:00,3.0,-25.565588,-22.4135,-30.3635,12.538134,23.4,246.32942,1.34,0.03862125
8,1940-01-09 06:00:00+00:00,3.0,-26.380165,-21.563501,-33.963497,9.449572,21.96,261.3573,1.21,0.03257803
9,1940-01-10 06:00:00+00:00,3.0,-26.155169,-23.313501,-28.4135,10.495713,19.8,209.16753,1.59,0.032918412
10,1940-01-11 06:00:00+00:00,3.0,-22.692667,-16.6635,-25.7635,11.269782,21.24,212.2846,1.25,0.049105383
11,1940-01-12 06:00:00+00:00,71.0,-20.340586,-14.3635,-23.463501,25.671307,45.0,236.01234,0.97,0.11385879
12,1940-01-13 06:00:00+00:00,3.0,-28.792665,-23.9135,-35.1135,17.283749,33.48,304.07553,1.76,0.060740806
13,1940-01-14 06:00:00+00:00,3.0,-33.407246,-30.9135,-36.163498,19.523155,23.039999,289.91122,1.86,0.04285995
14,1940-01-15 06:00:00+00:00,3.0,-31.626,-29.9135,-34.3635,22.218153,49.32,295.66257,1.39,0.07501032
15,1940-01-16 06:00:00+00:00,3.0,-30.2135,-28.313501,-31.9135,18.514643,36.36,296.56494,1.85,0.06942814
16,1940-01-17 06:00:00+00:00,3.0,-28.150995,-23.6635,-30.813501,15.778518,31.319998,300.72867,1.98,0.072092496
17,1940-01-18 06:00:00+00:00,3.0,-22.38225,-16.713501,-30.313501,5.495161,15.119999,194.65675,1.8,0.0484202
18,1940-01-19 06:00:00+00:00,3.0,-21.657251,-16.9135,-23.9135,8.209263,14.759999,180.37082,1.6,0.049726985
19,1940-01-20 06:00:00+00:00,3.0,-14.896832,-9.2135,-19.713501,12.605142,25.56,263.8701,2.03,0.10342735
20,1940-01-21 06:00:00+00:00,3.0,-21.476,-16.3635,-25.6135,16.279802,33.839996,305.85086,1.34,0.07446728
21,1940-01-22 06:00:00+00:00,3.0,-21.8135,-20.2635,-24.813501,16.279802,34.56,310.48807,2.21,0.09493842
22,1940-01-23 06:00:00+00:00,71.0,-22.790583,-20.1635,-28.7635,17.974781,32.399998,316.80576,1.76,0.10072823
23,1940-01-24 06:00:00+00:00,2.0,-27.707253,-22.563501,-31.6635,10.464797,16.919998,246.02281,2.62,0.057043627
24,1940-01-25 06:00:00+00:00,3.0,-22.82392,-16.9135,-29.3635,19.164717,28.08,164.6315,2.78,0.15285262
25,1940-01-26 06:00:00+00:00,3.0,-19.161417,-15.3635,-22.1135,12.24,23.759998,227.37836,2.8,0.108641654
