iter	Passed	Remaining
0	507	506834
1	553	276367
2	602	200382
3	650	162001
4	702	139820
5	759	125778
6	809	114881
7	855	106022
8	900	99164
9	949	93983
10	994	89408
11	1040	85667
12	1084	82322
13	1127	79387
14	1200	78838
15	1256	77275
16	1301	75265
17	1344	73329
18	1387	71626
19	1433	70235
20	1478	68946
21	1523	67717
22	1564	66471
23	1606	65315
24	1655	64563
25	1695	63521
26	1737	62605
27	1780	61796
28	1833	61384
29	1886	61000
30	1930	60329
31	1971	59637
32	2016	59084
33	2057	58469
34	2100	57917
35	2137	57229
36	2184	56845
37	2226	56368
38	2262	55750
39	2303	55284
40	2340	54737
41	2381	54313
42	2425	53988
43	2474	53767
44	2518	53439
45	2552	52931
46	2586	52439
47	2621	51994
48	2659	51610
49	2694	51188
50	2731	50830
51	2767	50454
52	2804	50115
53	2841	49770
54	2872	49359
55	2914	49134
56	2956	48918
57	3002	48765
58	3036	48435
59	3072	48131
60	3108	47857
61	3147	47618
62	3183	47349
63	3218	47069
64	3255	46827
65	3290	46571
66	3327	46339
67	3366	46139
68	3402	45907
69	3442	45733
70	3480	45546
71	3519	45365
72	3555	45150
73	3592	44951
74	3628	44745
75	3665	44566
76	3704	44400
77	3741	44221
78	3775	44014
79	3811	43836
80	3850	43682
81	3887	43522
82	3925	43365
83	3963	43217
84	4004	43107
85	4044	42980
86	4088	42903
87	4137	42875
88	4173	42720
89	4209	42564
90	4247	42426
91	4285	42294
92	4319	42123
93	4363	42055
94	4400	41917
95	4436	41780
96	4476	41673
97	4514	41555
98	4551	41427
99	4583	41252
100	4620	41125
101	4657	41006
102	4699	40927
103	4735	40799
104	4771	40669
105	4808	40556
106	4842	40415
107	4881	40313
108	4915	40179
109	4953	40079
110	4988	39954
111	5026	39853
112	5061	39728
113	5096	39608
114	5136	39528
115	5185	39514
116	5235	39513
117	5273	39413
118	5311	39320
119	5344	39193
120	5383	39105
121	5420	39010
122	5457	38909
123	5494	38816
124	5528	38702
125	5563	38594
126	5604	38527
127	5643	38449
128	5682	38368
129	5722	38295
130	5769	38270
131	5804	38170
132	5840	38070
133	5874	37965
134	5908	37859
135	5939	37731
136	5974	37632
137	6009	37534
138	6044	37442
139	6081	37360
140	6116	37260
141	6151	37167
142	6183	37055
143	6221	36980
144	6280	37032
145	6340	37086
146	6381	37031
147	6422	36973
148	6457	36883
149	6490	36780
150	6528	36707
151	6569	36648
152	6608	36582
153	6639	36476
154	6677	36404
155	6711	36311
156	6749	36240
157	6785	36159
158	6825	36104
159	6863	36035
160	6902	35967
161	6937	35885
162	6973	35810
163	7012	35745
164	7049	35674
165	7087	35605
166	7123	35532
167	7160	35459
168	7194	35378
169	7232	35312
170	7266	35227
171	7302	35152
172	7341	35095
173	7382	35047
174	7430	35031
175	7472	34983
176	7514	34941
177	7549	34861
178	7588	34806
179	7637	34791
180	7685	34777
181	7734	34763
182	7779	34733
183	7820	34681
184	7859	34626
185	7898	34566
186	7940	34523
187	7982	34477
