,date,weather_code,temperature_2m_mean,temperature_2m_max,temperature_2m_min,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration
0,1939-12-31 21:00:00+00:00,,,,,,,,,
1,1940-01-01 21:00:00+00:00,3.0,15.935166,24.306,7.9560003,21.924562,36.719997,219.64565,15.93,4.373846
2,1940-01-02 21:00:00+00:00,0.0,15.691417,22.656,8.406,20.12461,29.88,113.94724,16.36,4.123009
3,1940-01-03 21:00:00+00:00,2.0,16.281,23.806,9.156,26.368616,41.399998,177.02007,16.52,4.9614506
4,1940-01-04 21:00:00+00:00,1.0,13.839333,18.856,8.5060005,19.523155,32.760002,8.741048,16.64,4.457484
5,1940-01-05 21:00:00+00:00,3.0,10.151834,16.556,3.306,13.1041975,21.96,41.23428,16.82,3.3502877
6,1940-01-06 21:00:00+00:00,2.0,11.733085,17.656,6.056,18.161278,29.519999,127.74689,13.03,3.2308977
7,1940-01-07 21:00:00+00:00,3.0,15.395583,22.756,8.306,26.341572,42.12,164.60823,16.07,4.016236
8,1940-01-08 21:00:00+00:00,3.0,18.67475,24.756,12.306,25.537172,43.199997,202.52776,15.31,3.699695
9,1940-01-09 21:00:00+00:00,1.0,17.558083,22.706,11.206,28.019936,45.0,312.81833,14.7,4.44946
10,1940-01-10 21:00:00+00:00,0.0,11.133083,17.356,4.356,15.893093,29.88,359.60208,17.25,3.650237
11,1940-01-11 21:00:00+00:00,1.0,9.62475,15.906,2.906,12.959999,25.56,9.18874,17.11,3.2378454
12,1940-01-12 21:00:00+00:00,1.0,10.195583,17.356,2.606,22.61419,35.28,129.26505,16.91,3.6814141
13,1940-01-13 21:00:00+00:00,3.0,10.235166,17.706,2.406,16.071491,27.72,118.76756,16.87,3.6328115
14,1940-01-14 21:00:00+00:00,0.0,10.347667,18.906,2.2059999,20.620804,28.8,30.590536,17.32,3.5105495
15,1940-01-15 21:00:00+00:00,0.0,7.8372498,13.606,2.606,19.296133,32.760002,0.947475,17.55,3.0825593
16,1940-01-16 21:00:00+00:00,0.0,6.464333,14.706,-1.8939999,9.686609,16.919998,346.33884,17.96,2.9810479
17,1940-01-17 21:00:00+00:00,0.0,9.928917,18.656,0.45600003,14.081478,26.64,292.39093,17.98,3.3608673
18,1940-01-18 21:00:00+00:00,0.0,10.905999,19.756,1.106,12.181624,25.199999,346.6255,17.92,3.58547
19,1940-01-19 21:00:00+00:00,0.0,12.458084,19.706,6.306,11.525623,20.880001,142.66339,18.06,3.8001163
20,1940-01-20 21:00:00+00:00,0.0,12.835168,20.656,5.056,14.618837,20.519999,148.8151,17.83,4.19337
21,1940-01-21 21:00:00+00:00,51.0,13.155998,20.206,5.9560003,14.578888,21.24,142.38303,15.04,3.8832266
22,1940-01-22 21:00:00+00:00,3.0,13.780999,21.606,7.006,13.049689,17.64,159.2626,17.82,3.9670675
23,1940-01-23 21:00:00+00:00,3.0,14.841416,24.006,6.006,19.107151,33.839996,193.96844,18.14,4.969919
24,1940-01-24 21:00:00+00:00,0.0,14.839334,21.756,8.006,16.645864,27.72,309.64798,18.36,4.789405
25,1940-01-25 21:00:00+00:00,0.0,11.918499,19.456,3.156,13.1041975,18.359999,26.216688,18.53,3.5912106
26,1940-01-26 21:00:00+00:00,1.0,14.691417,23.256,5.756,28.1169,43.56,158.4514,18.39,4.951853
27,1940-01-27 21:00:00+00:00,53.0,19.868498,26.356,13.406,19.137648,32.399998,241.80058,15.65,4.3344326
28,1940-01-28 21:00:00+00:00,53.0,17.316416,22.106,10.556,18.837324,39.239998,295.3753,18.62,4.7768517
29,1940-01-29 21:00:00+00:00,0.0,12.2976675,21.206,4.156,19.33639,34.92,265.43372,19.06,4.3288937
30,1940-01-30 21:00:00+00:00,0.0,13.437249,22.056,5.156,16.904673,31.319998,265.39117,19.03,4.254079
31,1940-01-31 21:00:00+00:00,3.0,12.883084,18.906,5.806,20.746122,35.28,31.276682,18.8,4.3709216
32,1940-02-01 21:00:00+00:00,3.0,11.326833,17.356,4.2060003,15.1884165,26.64,34.459686,17.79,3.8031344
33,1940-02-02 21:00:00+00:00,3.0,11.291416,17.206,4.7060003,14.48972,27.72,28.32283,17.35,3.73071
34,1940-02-03 21:00:00+00:00,2.0,12.135167,18.406,6.056,12.413477,20.880001,25.121809,18.49,3.7082396
35,1940-02-04 21:00:00+00:00,2.0,12.926833,19.956,4.756,23.090569,35.64,146.5888,18.79,4.6356063
36,1940-02-05 21:00:00+00:00,3.0,16.014332,23.056,10.056,26.042212,43.199997,265.34775,18.22,5.8672557
37,1940-02-06 21:00:00+00:00,0.0,10.664334,15.656,5.606,25.346148,41.760002,348.26022,19.88,3.5401165
38,1940-02-07 21:00:00+00:00,3.0,9.9122505,17.156,1.706,10.799999,21.599998,12.512952,19.94,3.4008212
39,1940-02-08 21:00:00+00:00,3.0,12.645583,18.906,5.4560003,23.269482,39.239998,139.89917,16.73,4.579141
40,1940-02-09 21:00:00+00:00,51.0,14.397667,19.906,10.856,28.856194,46.8,205.10498,12.97,3.4839296
41,1940-02-10 21:00:00+00:00,0.0,12.914332,19.456,6.156,15.30741,28.8,7.989236,20.31,4.119459
42,1940-02-11 21:00:00+00:00,0.0,13.110166,21.106,5.606,18.581022,27.359999,144.51054,20.32,4.2286067
43,1940-02-12 21:00:00+00:00,53.0,15.855999,24.306,7.9560003,28.528723,45.36,181.2121,16.98,4.566003
44,1940-02-13 21:00:00+00:00,1.0,16.18725,22.056,9.656,22.450264,37.8,26.709555,19.98,4.5366855
45,1940-02-14 21:00:00+00:00,3.0,15.845582,22.406,10.906,17.581125,25.919998,77.868706,17.03,3.5199437
46,1940-02-15 21:00:00+00:00,3.0,18.851833,27.506,10.206,16.311613,28.08,169.51115,19.52,4.79477
47,1940-02-16 21:00:00+00:00,2.0,22.8435,29.706,16.606,23.18579,38.88,178.96823,20.25,6.864551
48,1940-02-17 21:00:00+00:00,3.0,22.520582,29.756,15.856,21.659916,36.0,187.20595,20.53,7.0667295
49,1940-02-18 21:00:00+00:00,3.0,21.693502,28.406,14.5060005,17.873556,26.28,154.25938,20.74,6.1910224
50,1940-02-19 21:00:00+00:00,0.0,21.551832,29.056,13.7560005,31.75355,51.839996,166.48143,21.42,7.8767705
51,1940-02-20 21:00:00+00:00,3.0,22.92475,30.956,14.206,22.89611,33.48,178.2502,21.08,7.2816873
52,1940-02-21 21:00:00+00:00,3.0,23.210167,30.406,15.0060005,19.681828,34.92,285.52408,21.13,6.5496235
53,1940-02-22 21:00:00+00:00,0.0,23.67475,31.606,15.606,25.49908,41.039997,155.98112,21.41,8.030057
54,1940-02-23 21:00:00+00:00,3.0,24.772665,32.856,16.706,24.863468,41.039997,166.75212,21.63,8.636551
55,1940-02-24 21:00:00+00:00,3.0,24.591417,30.156,18.356,21.603,35.64,178.58769,16.22,6.8754544
56,1940-02-25 21:00:00+00:00,53.0,17.52475,20.906,11.206,32.682762,57.239998,332.30267,20.13,5.4380064
57,1940-02-26 21:00:00+00:00,3.0,12.458084,18.906,5.2060003,20.929594,33.839996,312.8681,21.0,4.461849
58,1940-02-27 21:00:00+00:00,3.0,12.626834,19.406,3.906,11.91812,19.08,11.354115,22.68,4.587967
59,1940-02-28 21:00:00+00:00,51.0,13.558083,20.156,5.7060003,23.358425,38.88,135.55954,18.31,4.987551
60,1940-02-29 21:00:00+00:00,1.0,14.945582,20.306,9.156,26.67889,41.039997,122.42476,21.83,5.619812
61,1940-03-01 21:00:00+00:00,61.0,12.105999,17.456,6.856,25.476198,41.399998,67.55222,15.78,3.4023843
62,1940-03-02 21:00:00+00:00,61.0,11.710167,15.556,7.356,19.652176,29.88,55.28974,13.44,2.17659
63,1940-03-03 21:00:00+00:00,2.0,15.018501,21.056,8.606,18.079027,32.399998,218.7783,22.57,3.7693143
64,1940-03-04 21:00:00+00:00,1.0,17.462248,24.956,10.606,20.380579,34.2,209.14796,22.11,4.55035
65,1940-03-05 21:00:00+00:00,1.0,17.412252,22.556,12.856,18.11841,29.88,54.84947,21.8,4.7594714
66,1940-03-06 21:00:00+00:00,1.0,14.931001,20.706,8.406,20.371038,32.760002,43.269444,22.26,4.664418
67,1940-03-07 21:00:00+00:00,1.0,14.974751,22.906,6.756,11.113451,21.599998,18.840902,23.72,4.7757096
68,1940-03-08 21:00:00+00:00,0.0,18.247665,26.106,8.806,14.48972,22.319998,174.07837,23.82,5.4794955
69,1940-03-09 21:00:00+00:00,1.0,20.764334,28.406,11.806,19.855558,29.519999,184.50276,23.94,6.7019563
70,1940-03-10 21:00:00+00:00,3.0,22.720581,30.706,14.806,39.834938,60.120003,216.67276,22.81,8.468499
